time,json_config,trained,params,c_v,score
2025-04-21T23:34:31,smooth_trial01_0047.json,yes,"{""stage1"": {""gr"": 100, ""H_min"": 0.75, ""alpha_vp"": 0.9500000000000001, ""beta"": 0.26, ""buffer_size"": 14}, ""stage2"": {""gr"": 445, ""H_min"": 0.66, ""alpha_vp"": 1.4, ""beta"": 1.96, ""buffer_size"": 38}, ""stage3"": {""gr"": 500, ""H_min"": 0.6799999999999999, ""alpha_vp"": 1.85, ""beta"": 0.05, ""buffer_size"": 16}}",0.1,0.5208209615200758
2025-04-22T00:05:38,smooth_trial01_0048.json,yes,"{""stage1"": {""gr"": 105, ""H_min"": 0.55, ""alpha_vp"": 1.05, ""beta"": 0.12, ""buffer_size"": 24}, ""stage2"": {""gr"": 260, ""H_min"": 0.66, ""alpha_vp"": 1.85, ""beta"": 1.86, ""buffer_size"": 32}, ""stage3"": {""gr"": 500, ""H_min"": 0.6799999999999999, ""alpha_vp"": 1.45, ""beta"": 0.05, ""buffer_size"": 26}}",0.1,0.5260294886305928
2025-04-22T00:36:49,smooth_trial01_0049.json,yes,"{""stage1"": {""gr"": 95, ""H_min"": 0.65, ""alpha_vp"": 0.9500000000000001, ""beta"": 0.16, ""buffer_size"": 12}, ""stage2"": {""gr"": 310, ""H_min"": 0.54, ""alpha_vp"": 1.35, ""beta"": 1.84, ""buffer_size"": 28}, ""stage3"": {""gr"": 500, ""H_min"": 0.6599999999999999, ""alpha_vp"": 1.35, ""beta"": 0.1, ""buffer_size"": 28}}",0.1,0.5220964025706053
2025-04-22T09:27:58,smooth_trial01_0052.json,yes,"{""stage1"": {""gr"": 115, ""H_min"": 0.75, ""alpha_vp"": 1.05, ""beta"": 0.3, ""buffer_size"": 18}, ""stage2"": {""gr"": 370, ""H_min"": 0.66, ""alpha_vp"": 1.8, ""beta"": 1.82, ""buffer_size"": 34}, ""stage3"": {""gr"": 500, ""H_min"": 0.74, ""alpha_vp"": 1.9, ""beta"": 0.05, ""buffer_size"": 24}}",0.1,0.5201699741184711
2025-04-22T09:58:06,smooth_trial01_0053.json,yes,"{""stage1"": {""gr"": 105, ""H_min"": 0.55, ""alpha_vp"": 0.9500000000000001, ""beta"": 0.04, ""buffer_size"": 22}, ""stage2"": {""gr"": 345, ""H_min"": 0.54, ""alpha_vp"": 1.35, ""beta"": 1.92, ""buffer_size"": 38}, ""stage3"": {""gr"": 500, ""H_min"": 0.86, ""alpha_vp"": 1.3, ""beta"": 0.2, ""buffer_size"": 22}}",0.1,0.5168083112686872
2025-04-22T10:29:00,smooth_trial01_0054.json,yes,"{""stage1"": {""gr"": 85, ""H_min"": 0.75, ""alpha_vp"": 1.1, ""beta"": 0.32, ""buffer_size"": 12}, ""stage2"": {""gr"": 135, ""H_min"": 0.58, ""alpha_vp"": 1.45, ""beta"": 1.82, ""buffer_size"": 28}, ""stage3"": {""gr"": 500, ""H_min"": 0.98, ""alpha_vp"": 1.7, ""beta"": 0.15000000000000002, ""buffer_size"": 14}}",0.1,0.5065013131126761
2025-04-22T11:00:18,smooth_trial01_0055.json,yes,"{""stage1"": {""gr"": 115, ""H_min"": 0.65, ""alpha_vp"": 1.05, ""beta"": 0.16, ""buffer_size"": 18}, ""stage2"": {""gr"": 400, ""H_min"": 0.66, ""alpha_vp"": 1.7, ""beta"": 1.96, ""buffer_size"": 28}, ""stage3"": {""gr"": 500, ""H_min"": 0.62, ""alpha_vp"": 1.5, ""beta"": 0.30000000000000004, ""buffer_size"": 28}}",0.1,0.5070900743827224
2025-04-22T11:32:51,smooth_trial01_0056.json,yes,"{""stage1"": {""gr"": 120, ""H_min"": 0.5, ""alpha_vp"": 0.9, ""beta"": 0.36, ""buffer_size"": 22}, ""stage2"": {""gr"": 425, ""H_min"": 0.5, ""alpha_vp"": 1.3, ""beta"": 1.98, ""buffer_size"": 26}, ""stage3"": {""gr"": 500, ""H_min"": 0.72, ""alpha_vp"": 1.9, ""beta"": 0.05, ""buffer_size"": 12}}",0.1,0.5080940430983901
2025-04-22T12:04:14,smooth_trial01_0057.json,yes,"{""stage1"": {""gr"": 85, ""H_min"": 0.65, ""alpha_vp"": 1.05, ""beta"": 0.24, ""buffer_size"": 12}, ""stage2"": {""gr"": 245, ""H_min"": 0.5, ""alpha_vp"": 1.95, ""beta"": 1.82, ""buffer_size"": 32}, ""stage3"": {""gr"": 500, ""H_min"": 0.82, ""alpha_vp"": 1.3, ""beta"": 0.25, ""buffer_size"": 18}}",0.1,0.5212634665891528
2025-04-22T13:04:31,smooth_trial01_0058.json,yes,"{""stage1"": {""gr"": 85, ""H_min"": 0.55, ""alpha_vp"": 1.2, ""beta"": 0.16, ""buffer_size"": 28}, ""stage2"": {""gr"": 290, ""H_min"": 0.5, ""alpha_vp"": 1.9, ""beta"": 1.92, ""buffer_size"": 32}, ""stage3"": {""gr"": 500, ""H_min"": 0.96, ""alpha_vp"": 1.25, ""beta"": 0.45, ""buffer_size"": 18}}",0.1,0.5032350294291973
